Kode,Sektor,Sub Sektor
BUAH,Barang Konsumen Primer,Barang Konsumen Primer
BNII,Keuangan,Keuangan
GLOB,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
SOCI,Energi,Energi
DEAL,Transportasi & Logistik,Transportasi & Logistik
NETV,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
ELPI,Transportasi & Logistik,Transportasi & Logistik
DGIK,Infrastruktur,Infrastruktur
LPGI,Keuangan,Keuangan
MAPB,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
MREI,Keuangan,Keuangan
IBFN,Perindustrian,Perindustrian
PURE,Barang Baku,Barang Baku
BELL,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
PEVE,Kesehatan,Distributor Produk Kesehatan
ESIP,Barang Baku,Barang Baku
ENZO,Barang Konsumen Primer,Pengolahan ikan
ARMY,Properti & Real Estat,Properti & Real Estat
MYOR,Barang Konsumen Primer,Produsen Pangan / pakan
PADI,Keuangan,Investasi
KBLI,Perindustrian,Perindustrian
TOOL,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
SSTM,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
BMBL,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
HDTX,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
GPSO,Perindustrian,Perindustrian
CPRI,Properti & Real Estat,Properti & Real Estat
KDTN,Barang Konsumen Non-Primer,Akomodasi Villa & Hotel
CLEO,Barang Konsumen Primer,Barang Konsumen Primer
KRYA,Infrastruktur,Infrastruktur
SSMS,Barang Konsumen Primer,Barang Konsumen Primer
SAPX,Transportasi & Logistik,Logistik darat
MCOL,Energi,Energi
GAMA,Properti & Real Estat,Properti & Real Estat
BTEL,Infrastruktur,Infrastruktur
TRST,Barang Baku,Barang Baku
BINO,Perindustrian,Perindustrian
FITT,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
NELY,Transportasi & Logistik,Transportasi & Logistik
BBRI,Keuangan,Bank
IPCC,Infrastruktur,Produsen alat industri
UANG,Properti & Real Estat,Properti & Real Estat
INCO,Barang Baku,Tambang Nikel
UNIQ,Energi,Energi
SAFE,Transportasi & Logistik,Transportasi & Logistik
WOWS,Energi,Infrastruktur pertambangan
PTSN,Teknologi,Teknologi
BACH,Perindustrian,Perindustrian
GTSI,Energi,Energi
WIKA,Infrastruktur,Infrastruktur
KJEN,Transportasi & Logistik,Transportasi & Logistik
CHEK,Kesehatan,Produsen alat kesehatan
MLPL,Barang Konsumen Primer,Barang Konsumen Primer
MARK,Perindustrian,Perindustrian
WIRG,Teknologi,Teknologi
MSJA,Barang Konsumen Primer,Barang Konsumen Primer
LAJU,Transportasi & Logistik,Transportasi & Logistik
INAF,Kesehatan,Kesehatan
IOTF,Teknologi,Teknologi
WIFI,Teknologi,Telekomunikasi
HOTL,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
DOID,Energi,Energi
ABDA,Keuangan,Keuangan
SATU,Properti & Real Estat,Properti & Real Estat
RSCH,Kesehatan,Kesehatan
JGLE,Barang Konsumen Non-Primer,Properti
MIKA,Kesehatan,Kesehatan
VTNY,Keuangan,Media
KOBX,Perindustrian,Perindustrian
TRIN,Properti & Real Estat,Properti
DEFI,Keuangan,Keuangan
TAPG,Barang Konsumen Primer,Barang Konsumen Primer
KBAG,Properti & Real Estat,Properti & Real Estat
IMAS,Barang Konsumen Non-Primer,Distributor Otomotif
AMFG,Perindustrian,Perindustrian
VRNA,Keuangan,Keuangan
AYAM,Barang Konsumen Primer,Barang Konsumen Primer
KMDS,Barang Konsumen Primer,Barang Konsumen Primer
MORA,Infrastruktur,Infrastruktur Telekomunikasi
RLCO,Barang Konsumen Primer,Barang Konsumen Primer
IRSX,Teknologi,Teknologi
BBTN,Keuangan,Keuangan
VIVA,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
MTSM,Properti & Real Estat,Properti & Real Estat
HDIT,Teknologi,Teknologi
PGEO,Infrastruktur,Energi Baru Terbarukan
DOOH,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
KAYU,Barang Baku,Barang Baku
ICON,Perindustrian,Perindustrian
NASA,Properti & Real Estat,Properti & Real Estat
KOTA,Barang Konsumen Non-Primer,Properti
WOOD,Barang Konsumen Non-Primer,Produsen kayu & kertas
NISP,Keuangan,Bank
PLIN,Properti & Real Estat,Properti & Real Estat
MMLP,Properti & Real Estat,Properti & Real Estat
BOSS,Energi,Energi
PZZA,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
BOAT,Energi,Energi
BELI,Teknologi,Teknologi
OCAP,Keuangan,Keuangan
MFIN,Keuangan,Keuangan
ANTM,Barang Baku,Trading Tambang
MPMX,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
PBID,Barang Baku,Barang Baku
JARR,Barang Konsumen Primer,Perkebunan Sawit
BRNA,Barang Baku,Farmasi
TBLA,Barang Konsumen Primer,Barang Konsumen Primer
ITIC,Barang Konsumen Primer,Barang Konsumen Primer
KLAS,Transportasi & Logistik,Transportasi & Logistik
PTPS,Barang Konsumen Primer,Perkebunan Sawit
PWON,Properti & Real Estat,Properti
MLBI,Barang Konsumen Primer,Barang Konsumen Primer
PMUI,Barang Konsumen Non-Primer,Pulsa dan Voucher
EURO,Barang Konsumen Primer,Produsen bahan kimia
WMUU,Barang Konsumen Primer,Barang Konsumen Primer
INAI,Barang Baku,Barang Baku
TGUK,Barang Konsumen Primer,Barang Konsumen Primer
NIPS,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
AADI,Energi,Tambang Batu bara
SPRE,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
KPAS,Barang Konsumen Primer,Barang Konsumen Primer
IGAR,Barang Baku,Barang Baku
EMDE,Properti & Real Estat,Properti
MSIE,Properti & Real Estat,Persewaan properti
NIRO,Properti & Real Estat,Properti & Real Estat
SMSM,Barang Konsumen Non-Primer,Produsen Suku Cadang Otomotif
BLUE,Perindustrian,Retail Elektronik
PBRX,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
SUGI,Energi,Energi
